rank,Attr_1,Attr_2,Attr_3,Attr_4,Attr_5,Attr_6,Attr_7,Attr_8,Attr_9,Attr_10,Attr_11,Attr_12,Attr_13,Attr_14,Attr_15,Attr_16,Attr_17,Attr_18,Attr_19,Attr_20,Attr_21,Attr_22,Attr_23,Attr_24,Attr_25,Attr_26,Attr_27,Attr_28,Attr_29,Attr_30,Attr_31,Attr_32,Attr_33,Attr_34,Attr_35,Attr_36,Attr_37,Attr_38,Attr_39,Attr_40,Attr_41,Attr_42,Attr_43,Attr_44,Attr_45,Attr_46,Attr_47,Attr_48,Attr_49,Attr_50,Attr_51,Attr_52,Attr_53,Attr_54,Attr_55,Attr_56,Attr_57,Attr_58,Attr_59,Attr_60,Attr_61,Attr_62,Attr_63,Attr_64,Attr_65,Attr_66,Attr_67,Attr_68,Attr_69,Attr_70,Attr_71,Attr_72,Attr_73,Attr_74,Attr_75,Attr_76,Attr_77,Attr_78,Attr_79,Attr_80,Attr_81,Attr_82,Attr_83,Attr_84,Attr_85,Attr_86,Attr_87,Attr_88,Attr_89,Attr_90,Attr_91,Attr_92,Attr_93,Attr_94,Attr_95,Attr_96,Attr_97,Attr_98,Attr_99,Attr_100,Attr_101,Attr_102,Attr_103,Attr_104,Attr_105,Attr_106,Attr_107,Attr_108,Attr_109,Attr_110,Attr_111,Attr_112,Attr_113,Attr_114,Attr_115,Attr_116,Attr_117,Attr_118,Attr_119,Attr_120,Attr_121,Attr_122,Attr_123,Attr_124,Attr_125,Attr_126,Attr_127,Attr_128,Attr_129,Attr_130,Attr_131,Attr_132,Attr_133,Attr_134,Attr_135,Attr_136,Attr_137,Attr_138,Attr_139,Attr_140,Attr_141,Attr_142,Attr_143,Attr_144,Attr_145,Attr_146,Attr_147,Attr_148,Attr_149,Attr_150,Attr_151,Attr_152,Attr_153,Attr_154,Attr_155,Attr_156,Attr_157,Attr_158,Attr_159,Attr_160,Attr_161,Attr_162,Attr_163,Attr_164,Attr_165,Attr_166,Attr_167,Attr_168,Attr_169,Attr_170
2297,0,4.5846,5.3056,6.6901,15.775,-0.13448,-0.48728,0,0,0,0,4.5846,11.074,16.167,19.164,35.118,54.514,0,0,0,0,6.6337,5.3056,16.167,19.164,31.691,41.697,146.58,0,0,0,3.4943,7.0557,2.2748,15.063,30.97,50.639,150.02,0,0,0,3.4943,11.074,8.9717,19.164,19.651,57.794,146.58,0,0,0,3.4943,12.826,8.8433,24.892,31.691,50.653,146.58,0,0,0,5.1897,5.1345,17.837,10.371,35.118,54.514,0,0,0,0,6.6337,5.3056,9.3044,0,0,0,0,0,0,0,4.5846,0.44171,16.167,18.56,33.908,0,0,0,0,0,-1.7926,3.7468,0,0,0,0,0,0,0,0,6.6337,7.3506,4.2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5846,5.3056,11.436,20.802,0,0,0,0,0,0,4.5846,11.074,10.521,23.334,20.65,59.86,146.67,0,0,0,4.5846,11.101,11.436,15.775,0,0,0,0,0,0,4.5846,11.074,8.9717,23.334,20.65,59.86,146.67,0,0,0,4.5846,5.3056,11.436,15.775,0,0,0,0,0
2298,0,4.5846,11.101,-0.13448,-0.48728,0,0,0,0,0,0,-0.070233,11.101,6.6901,11.206,33.908,51.238,161.54,0,0,0,5.1897,12.826,18.499,14.967,36.773,57.111,150.34,0,0,0,4.5846,12.826,0.47215,14.967,36.773,41.697,0,0,0,0,4.5846,7.0557,8.9717,23.334,30.97,42.802,146.67,0,0,0,3.5542,7.468,0.47215,14.967,31.691,57.794,150.34,0,0,0,3.4943,7.0557,16.696,15.063,35.327,42.802,150.02,0,0,0,4.5846,7.0557,16.696,15.063,35.327,56.29,150.02,0,0,0,3.5542,7.468,18.499,14.967,36.773,41.697,150.34,0,0,0,4.5846,0.44171,16.167,21.854,0,0,0,0,0,0,6.6337,11.101,9.5747,0,0,0,0,0,0,0,4.5846,5.3056,5.3188,0,0,0,0,0,0,0,6.6337,11.101,6.6901,15.775,0,0,0,0,0,0,4.5846,5.3056,16.167,15.416,0,0,0,0,0,0,2.9207,4.2648,0,0,0,0,0,0,0,0,4.5846,5.3056,5.9913,15.822,0,0,0,0,0,0,6.6337,6.9676,12.993,0,0,0,0,0,0
2299,0,6.6337,6.9676,13.87,19.678,55.989,-0.13448,-0.48728,0,0,0,4.5846,11.074,16.167,18.56,27.062,0,0,0,0,0,4.5846,11.074,8.9717,23.334,20.65,56.887,146.67,0,0,0,6.6337,5.3056,17.837,10.371,0,0,0,0,0,0,4.5846,7.0557,8.9717,23.334,30.97,42.802,146.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9207,0,0,0,0,0,0,0,0,0,2.0732,0,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,18.56,22.251,54.073,0,0,0,0,4.5523,7.7336,12.411,9.5091,36.328,51.325,0,0,0,0,4.5846,11.074,16.167,11.233,27.131,0,0,0,0,0,9.8929,4.9635,12.411,22.907,0,0,0,0,0,0,8.7884,7.3506,12.411,9.5091,36.328,62.524,0,0,0,0,8.7884,12.861,11.924,10.371,19.651,50.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,0,6.6337,11.101,12.993,20.802,54.424,-0.13448,-0.48728,0,0,0,4.5846,5.3056,6.6901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7926,12.861,5.9913,21.854,35.118,51.325,0,0,0,0,5.1897,7.468,17.837,19.164,35.118,0,0,0,0,0,5.1897,12.826,18.499,14.967,36.773,41.697,150.34,0,0,0,4.5846,11.074,8.5532,23.334,26.643,51.238,0,0,0,0,9.8929,4.9635,19.508,26.45,32.411,62.524,0,0,0,0,4.5846,11.074,8.5532,23.334,26.643,54.073,0,0,0,0,4.5846,0.44171,8.9717,18.56,22.251,0,0,0,0,0,4.5846,11.074,16.167,18.56,20.65,51.15,0,0,0,0,4.5846,11.074,8.9717,18.56,33.908,0,0,0,0,0,4.5846,7.0557,2.2748,15.063,30.97,46.058,146.67,0,0,0,4.2578,7.3506,11.924,19.164,19.651,41.697,0,0,0,0,8.7884,7.3506,11.924,19.164,31.691,41.697,0,0,0,0,2.6939,3.7468,0,0,0,0,0,0,0,0,2.0732,0,0,0,0,0,0,0,0
2301,0,3.4943,11.101,9.3044,18.989,-0.13448,-0.48728,0,0,0,0,4.5846,7.0557,16.696,15.063,30.97,46.058,161.54,0,0,0,4.5846,5.3056,11.436,21.286,0,0,0,0,0,0,6.6337,11.101,4.2771,0,0,0,0,0,0,0,4.5846,0.44171,16.167,11.233,27.062,0,0,0,0,0,2.9207,5.3056,16.167,10.371,26.642,61.192,0,0,0,0,-1.7926,12.861,11.924,10.371,26.642,51.238,0,0,0,0,2.9207,4.2648,0,0,0,0,0,0,0,0,6.6337,6.419,8.9717,23.334,30.97,50.639,133.35,0,0,0,3.4943,12.826,10.78,19.164,21.518,45.418,150.34,0,0,0,4.5846,12.826,0.47215,24.892,31.691,41.697,146.58,0,0,0,4.5846,0.44171,16.167,10.371,27.131,54.514,0,0,0,0,4.5846,11.074,8.9717,23.334,20.65,51.15,161.54,0,0,0,6.6337,11.101,14.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6337,6.9676,0,0,0,0,0,0,0,0,5.0263,0,0,0,0,0,0,0,0
2302,0,6.6337,5.3056,6.6901,21.854,47.278,-0.13448,-0.48728,0,0,0,4.5846,11.074,8.9717,18.56,20.65,51.15,0,0,0,0,4.5846,11.074,8.9717,18.56,20.65,46.058,146.67,0,0,0,6.6337,11.101,6.6901,0,0,0,0,0,0,0,4.5846,7.0557,8.9717,23.334,30.97,59.86,146.67,0,0,0,6.6337,11.101,13.87,0,0,0,0,0,0,0,2.0732,0,0,0,0,0,0,0,0,0,8.2633,12.861,5.9913,0,0,0,0,0,0,0,2.3985,9.3411,0,0,0,0,0,0,0,0,3.4943,7.0557,16.696,15.063,35.327,42.802,150.02,0,0,0,6.9838,3.7468,5.9913,10.338,35.118,51.238,161.54,0,0,0,4.5846,11.074,16.167,19.164,21.518,51.238,0,0,0,0,5.1897,7.468,18.499,24.892,31.691,41.697,146.58,0,0,0,2.9207,5.1345,17.837,19.164,31.691,41.697,148.15,0,0,0,5.1897,6.6192,17.837,15.416,27.131,54.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,23.334,20.65,59.86,0,0,0
2303,0,6.6337,5.3056,11.436,15.437,55.989,-0.13448,0,0,0,0,2.6939,7.3506,0,0,0,0,0,0,0,0,4.5846,6.419,8.9717,18.56,22.251,0,0,0,0,0,3.9634,0,0,0,0,0,0,0,0,0,3.4943,11.074,8.9717,23.334,19.651,61.192,0,0,0,0,4.5846,4.9635,19.508,9.5091,27.2,0,0,0,0,0,-0.070233,12.861,9.214,9.4712,36.328,51.325,0,0,0,0,9.8929,4.9635,12.411,22.907,0,0,0,0,0,0,8.7884,7.3506,11.924,10.371,0,0,0,0,0,0,3.5542,7.468,18.499,14.967,36.773,41.697,150.34,0,0,0,3.4943,11.074,2.2748,15.063,30.97,56.887,146.67,0,0,0,4.5846,11.074,8.9717,23.334,30.97,51.15,0,0,0,0,5.1897,7.468,18.499,13.164,26.15,57.111,150.34,0,0,0,4.5846,0.44171,16.167,18.56,33.908,54.514,0,0,0,0,10.593,7.7336,12.411,19.767,32.411,40.592,0,0,0,0,2.083,5.1345,17.837,19.164,19.651,51.238,0,0,0,0,3.9634,7.3506,11.924,10.371,35.118,0,0,0,0
2304,0,2.9207,11.101,6.6901,-0.13448,0,0,0,0,0,0,4.5846,5.6607,17.837,19.164,19.651,0,0,0,0,0,6.6337,5.3056,11.436,11.206,29.948,0,0,0,0,0,4.5846,5.6607,11.436,10.338,0,0,0,0,0,0,3.4943,7.0557,2.2748,23.334,20.65,46.058,146.67,0,0,0,4.5846,0.44171,16.167,11.206,0,0,0,0,0,0,4.5846,12.826,8.8433,24.892,31.691,61.192,0,0,0,0,4.5846,11.074,2.2748,15.063,30.97,46.058,0,0,0,0,6.6337,11.101,5.3188,19.678,0,0,0,0,0,0,6.6337,11.101,13.87,0,0,0,0,0,0,0,4.2578,0,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,18.56,35.118,0,0,0,0,0,2.7238,0,0,0,0,0,0,0,0,0,5.1897,5.1345,17.837,10.371,27.131,0,0,0,0,0,4.5846,5.3056,11.924,10.371,27.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,18.56,22.251,0,0,0,0
2305,0,2.7238,-0.13448,0,0,0,0,0,0,0,0,3.4943,7.0557,2.2748,15.063,35.327,56.29,150.02,0,0,0,6.9838,5.8081,0,0,0,0,0,0,0,0,6.6337,3.7468,13.87,0,0,0,0,0,0,0,4.5846,11.074,8.9717,23.334,20.65,51.15,0,0,0,0,3.3118,0,0,0,0,0,0,0,0,0,3.4943,7.0557,2.2748,15.063,30.97,59.86,0,0,0,0,5.1897,7.468,18.499,24.892,31.691,41.697,146.58,0,0,0,4.5846,11.074,16.167,11.233,35.118,51.238,0,0,0,0,4.5846,0.44171,6.6901,0,0,0,0,0,0,0,5.5769,0,0,0,0,0,0,0,0,0,4.5846,6.419,16.167,11.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070233,0,0,0,0,0,0,0,0
2306,0,6.6337,5.3056,11.436,20.802,44.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6939,0,0,0,0,0,0,0,0,0,4.5846,0.44171,16.167,20.802,0,0,0,0,0,0,6.6337,11.101,15.998,10.338,27.131,0,0,0,0,0,4.5846,12.861,5.9913,0,0,0,0,0,0,0,5.1897,5.1345,17.837,19.164,27.131,0,0,0,0,0,2.6939,7.3506,11.924,19.164,19.651,41.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5846,5.3056,11.436,20.802,0,0,0,0,0,0,4.5846,7.0557,16.696,15.063,35.327,42.802,150.02,0,0,0,6.6337,11.101,6.6901,18.989,0,0,0,0,0,0,4.5846,11.074,8.9717,18.56,26.643,59.86,0,0,0,0,5.1897,7.468,18.499,14.967,31.691,45.418,0,0,0
2307,0,3.4943,5.3056,6.6901,15.775,-0.13448,-0.48728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3985,0,0,0,0,0,0,0,0,0,2.6939,3.7468,0,0,0,0,0,0,0,0,5.1897,12.826,8.8433,14.967,31.691,61.192,0,0,0,0,4.5846,11.074,8.9717,18.56,35.118,51.238,0,0,0,0,4.5846,5.6607,16.167,21.286,27.131,0,0,0,0,0,4.5846,11.074,2.2748,15.063,30.97,46.058,0,0,0,0,4.2578,7.3506,5.9913,21.854,0,0,0,0,0,0,8.7884,7.7336,5.2924,9.5091,36.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6337,11.101,9.3044,0,0,0,0,0,0,0,4.5846,11.074,8.8433,10.371,0,0,0,0,0,0,-0.070233,6.9676,9.5747,0,0,0,0,0,0,0,4.5846,6.419,16.167,15.437,27.062,0,0,0,0,0,5.1897,12.826,8.8433,24.892,19.651,61.192,0,0,0
2308,0,4.5846,11.101,9.5747,-0.13448,-0.48728,0,0,0,0,0,3.4943,7.0557,16.696,15.063,30.97,42.802,146.67,0,0,0,4.5846,11.074,8.8433,19.164,35.118,51.325,0,0,0,0,4.5846,0.44171,8.9717,18.56,20.65,51.15,0,0,0,0,5.1897,12.826,8.8433,19.164,21.518,54.073,0,0,0,0,4.5523,0,0,0,0,0,0,0,0,0,4.5846,5.1345,11.924,21.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5846,5.3056,16.167,11.233,0,0,0,0,0,0,8.2633,14.622,14.746,0,0,0,0,0,0,0,4.5846,5.3056,16.167,18.56,33.743,0,0,0,0,0,3.9634,0,0,0,0,0,0,0,0,0,6.6337,6.9676,12.993,0,0,0,0,0,0,0,4.5846,5.3056,16.167,11.233,33.908,0,0,0,0,0,2.6939,3.7468,0,0,0,0,0,0,0,0,3.4943,11.074,8.9717,18.56,21.518,51.238,0,0,0,0,6.9838,3.7468,0,0,0,0,0,0,0
2309,0,-0.070233,-0.13448,0,0,0,0,0,0,0,0,4.5846,0.44171,16.167,11.233,33.908,54.073,0,0,0,0,5.1897,12.826,10.78,14.967,36.773,41.697,150.34,0,0,0,3.4943,7.468,0.47215,14.967,36.773,41.697,150.34,0,0,0,4.5846,5.3056,16.167,18.56,22.251,0,0,0,0,0,4.5846,12.826,19.508,19.767,18.651,51.325,0,0,0,0,4.5846,5.3056,11.436,21.854,27.131,51.238,0,0,0,0,4.5846,5.3056,16.167,11.233,33.908,0,0,0,0,0,4.5846,11.074,0.47215,24.892,19.651,61.192,0,0,0,0,8.7884,0,0,0,0,0,0,0,0,0,8.7884,0,0,0,0,0,0,0,0,0,4.5523,9.3411,0,0,0,0,0,0,0,0,6.6337,6.9676,5.3188,0,0,0,0,0,0,0,6.6337,11.101,5.9913,0,0,0,0,0,0,0,6.6337,3.7468,0,0,0,0,0,0,0,0,4.5846,11.074,8.8433,19.164,19.651,51.238,0,0,0,0,6.6337,4.2648,12.895,0,0,0,0,0,0
2310,0,-0.070233,12.861,9.2592,21.854,0,0,0,0,0,0,4.5846,5.3056,16.167,10.371,0,0,0,0,0,0,2.5135,11.101,9.5747,0,0,0,0,0,0,0,2.9207,6.9676,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,18.56,22.251,0,0,0,0,0,6.9838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2633,12.861,5.9913,0,0,0,0,0,0,0,8.7884,5.801,0,0,0,0,0,0,0,0,3.4943,7.0557,16.696,23.334,30.97,61.192,0,0,0,0,4.5523,7.7336,12.411,9.5091,20.785,62.524,0,0,0,0,4.5846,11.101,11.436,15.822,27.131,54.073,0,0,0,0,5.1897,12.826,8.8433,19.164,19.651,51.238,0,0,0,0,8.2633,12.826,8.3201,19.164,33.743,0,0,0,0,0,5.1897,-1.3506,17.837,10.371,30.498,0,0,0,0,0,3.6535,4.2648,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,23.334,26.643,59.86,0,0,0
2311,0,4.5846,11.101,6.6901,10.371,44.351,-0.13448,-0.48728,0,0,0,3.6535,0.83406,0,0,0,0,0,0,0,0,4.5523,0,0,0,0,0,0,0,0,0,2.6939,3.7468,0,0,0,0,0,0,0,0,8.2633,12.861,5.9913,0,0,0,0,0,0,0,4.5846,7.0557,2.2748,15.063,30.97,46.058,146.67,0,0,0,4.5846,5.3056,6.6901,15.822,0,0,0,0,0,0,4.5846,5.3056,16.167,21.286,27.062,0,0,0,0,0,4.5846,11.074,2.2748,23.334,30.97,59.86,0,0,0,0,4.5846,11.074,16.167,18.56,27.062,0,0,0,0,0,4.5846,5.1345,11.924,21.854,0,0,0,0,0,0,-0.070233,6.9676,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,23.334,20.65,59.86,146.67,0,0,0,5.1897,14.578,8.7149,26.45,32.411,62.524,0,0,0,0,2.6939,12.861,11.924,10.371,19.651,45.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2312,0,4.5846,11.101,6.6901,15.775,-0.13448,0,0,0,0,0,4.5846,7.0557,2.2748,23.334,30.97,61.192,0,0,0,0,2.9207,3.7468,0,0,0,0,0,0,0,0,4.5846,0.44171,16.167,21.286,0,0,0,0,0,0,5.1897,-1.3506,17.837,21.854,0,0,0,0,0,0,8.7884,7.3506,11.924,10.371,19.651,61.192,0,0,0,0,8.7884,7.3506,11.924,19.164,19.651,41.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5846,11.101,11.436,20.802,0,0,0,0,0,0,3.4943,7.0557,16.696,14.967,26.15,57.794,150.34,0,0,0,4.5846,12.826,17.837,24.892,31.691,41.697,146.58,0,0,0,6.6337,6.9676,6.6901,0,0,0,0,0,0,0,4.5846,5.3056,16.167,19.164,35.118,0,0,0,0,0,6.9838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6939,3.7468,0,0,0,0,0,0,0,0,2.0732,0,0,0,0,0,0,0,0
2313,0,4.5846,11.101,11.436,11.233,34.458,70.752,-0.13448,-0.48728,0,0,4.5846,5.3056,16.167,11.233,0,0,0,0,0,0,4.5846,11.101,11.436,15.775,0,0,0,0,0,0,6.6337,11.101,6.6901,15.822,0,0,0,0,0,0,4.5846,7.468,8.8433,19.164,33.743,51.238,0,0,0,0,3.4943,7.0557,2.2748,15.063,35.327,42.802,150.02,0,0,0,4.5846,5.3056,11.436,20.802,0,0,0,0,0,0,3.4943,11.074,8.9717,23.334,20.65,46.058,146.67,0,0,0,4.5846,0.44171,16.167,11.206,0,0,0,0,0,0,4.5846,7.0557,8.9717,23.334,20.65,51.15,0,0,0,0,5.1897,12.826,0.47215,24.892,31.691,41.697,150.34,0,0,0,4.5846,0.44171,16.167,18.56,27.062,0,0,0,0,0,8.2633,-1.3506,8.8433,24.892,31.691,45.418,0,0,0,0,8.2633,12.826,8.8433,14.967,36.773,57.111,150.34,0,0,0,6.6337,5.1345,11.924,21.854,35.118,51.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,23.334,20.65,59.86,0,0,0
2314,0,6.6337,11.101,12.993,20.802,55.989,-0.13448,-0.48728,0,0,0,4.5846,11.074,8.9717,23.334,20.65,59.86,0,0,0,0,4.5846,11.074,8.5532,23.334,20.65,59.86,146.67,0,0,0,4.5846,11.074,10.521,18.56,22.251,0,0,0,0,0,4.5846,11.074,8.9717,18.56,32.73,59.86,0,0,0,0,8.2633,5.1345,15.998,0,0,0,0,0,0,0,8.7884,0,0,0,0,0,0,0,0,0,4.5846,5.6607,17.837,10.371,33.743,51.238,0,0,0,0,8.7884,3.2288,14.746,0,0,0,0,0,0,0,3.4943,7.0557,8.9717,23.334,20.65,51.238,0,0,0,0,6.9838,7.3506,11.924,19.164,31.691,41.697,146.58,0,0,0,-0.070233,5.3056,16.167,11.233,21.518,45.418,0,0,0,0,5.1897,4.4915,8.8433,24.892,19.651,61.192,146.58,0,0,0,8.7884,7.3506,11.924,19.164,31.691,40.592,0,0,0,0,8.7884,7.3506,12.411,19.767,18.651,62.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2315,0,4.5846,11.101,16.167,18.56,45.498,73.68,-0.13448,-0.48728,0,0,3.4943,7.0557,16.696,15.063,35.327,42.802,146.67,0,0,0,6.9838,8.9116,0,0,0,0,0,0,0,0,4.5846,5.3056,6.6901,15.822,0,0,0,0,0,0,3.4943,7.0557,16.696,15.063,30.97,42.802,150.02,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9207,0,0,0,0,0,0,0,0,0,5.1897,12.826,17.837,10.371,35.118,0,0,0,0,0,2.6939,3.7468,0,0,0,0,0,0,0,0,4.5846,11.074,16.167,18.56,27.131,54.514,0,0,0,0,3.5542,7.468,18.499,14.967,31.691,57.794,146.58,0,0,0,3.4943,7.0557,2.2748,15.063,35.327,42.802,150.02,0,0,0,6.9838,5.8046,0,0,0,0,0,0,0,0,5.1897,7.468,0.47215,24.892,31.691,41.697,150.34,0,0,0,4.5846,5.3056,11.924,15.416,27.2,54.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,23.334,30.97,59.86,0,0,0
2316,0,6.6337,4.2648,12.895,-0.13448,-0.48728,0,0,0,0,0,4.5846,5.3056,16.167,11.233,0,0,0,0,0,0,6.9838,0,0,0,0,0,0,0,0,0,6.6337,6.9676,13.87,21.854,0,0,0,0,0,0,3.4943,7.0557,2.2748,15.063,30.97,46.058,146.67,0,0,0,-0.070233,3.7468,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,18.56,22.251,0,0,0,0,0,3.4943,7.0557,16.696,15.063,30.97,59.86,146.67,0,0,0,-0.070233,11.664,0,0,0,0,0,0,0,0,4.5846,6.419,16.167,22.435,0,0,0,0,0,0,3.9634,0,0,0,0,0,0,0,0,0,6.6337,5.3056,9.3044,0,0,0,0,0,0,0,5.0263,0,0,0,0,0,0,0,0,0,4.4757,9.9426,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,11.233,27.062,0,0,0,0,0,8.2633,7.3506,9.5971,0,0,0,0,0,0,0,4.5846,11.074,16.167,20.802,0,0,0,0,0
2317,0,3.4943,5.3056,6.6901,15.775,-0.13448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1897,5.1345,11.924,0,0,0,0,0,0,0,3.4943,7.0557,8.5532,23.334,20.65,59.86,146.67,0,0,0,6.6337,5.3056,15.998,0,0,0,0,0,0,0,4.5846,5.6607,16.167,21.286,0,0,0,0,0,0,5.1897,12.826,8.8433,19.164,19.651,51.238,0,0,0,0,8.2633,12.861,5.9913,21.854,0,0,0,0,0,0,6.9838,0,0,0,0,0,0,0,0,0,4.5846,5.3056,16.167,15.437,0,0,0,0,0,0,3.4943,7.0557,2.2748,15.063,35.327,42.802,150.02,0,0,0,6.6337,5.3056,6.6901,11.206,0,0,0,0,0,0,4.5846,11.074,8.9717,18.56,32.73,51.15,0,0,0,0,5.1897,12.826,18.499,17.489,26.15,41.697,131.59,0,0
2318,0,6.6337,11.074,16.167,18.56,45.498,73.68,-0.13448,-0.48728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7884,7.3506,11.924,19.164,31.691,0,0,0,0,0,5.1897,5.1345,17.837,19.164,27.131,0,0,0,0,0,5.1897,12.826,8.8433,24.892,26.642,0,0,0,0,0,4.5846,11.074,8.9717,23.334,20.65,51.238,0,0,0,0,4.5846,6.419,8.9717,24.892,19.651,50.653,150.34,0,0,0,3.4943,11.074,2.2748,15.063,35.327,42.802,150.02,0,0,0,8.7884,7.3506,11.924,19.164,19.651,61.192,0,0,0,0,8.7884,7.3506,11.924,10.371,19.651,61.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9838,0,0,0,0,0,0,0,0,0,8.2633,12.826,10.78,14.967,26.15,61.356,148.15,0,0,0,4.5846,11.074,8.9717,18.56,22.251,59.86,0,0,0,0,4.5846,11.074,8.5532,23.334,30.97,56.887,150.02,0,0,0,5.1897,12.826,0.47215,14.967,36.773,41.697,150.34,0,0
2319,0,3.4943,5.3056,6.6901,15.775,-0.13448,-0.48728,0,0,0,0,3.4943,7.0557,10.521,23.334,30.97,42.802,146.67,0,0,0,6.6337,5.3056,17.837,19.164,19.651,61.192,0,0,0,0,3.4943,11.074,8.5532,23.334,20.65,56.887,150.02,0,0,0,6.6337,-1.3506,17.837,15.416,35.118,54.073,0,0,0,0,8.2633,-1.3506,17.837,21.854,0,0,0,0,0,0,4.5846,5.3056,16.167,10.371,27.131,0,0,0,0,0,6.9838,0,0,0,0,0,0,0,0,0,4.5846,5.3056,6.6901,0,0,0,0,0,0,0,3.5542,4.4915,8.3201,24.892,19.651,45.418,0,0,0,0,4.5846,5.3056,16.167,18.56,27.062,0,0,0,0,0,6.6337,4.2648,0,0,0,0,0,0,0,0,4.5846,11.074,8.9717,18.56,32.73,51.15,0,0,0,0,4.5846,0.44171,6.6901,0,0,0,0,0,0,0,4.2578,3.7468,0,0,0,0,0,0,0,0,4.5846,0.44171,16.167,11.206,0,0,0,0,0,0,5.5769,0,0,0,0,0,0,0,0
2320,0,2.9207,4.2648,-0.13448,0,0,0,0,0,0,0,6.9838,4.2648,13.747,0,0,0,0,0,0,0,6.6337,7.3506,11.924,21.854,0,0,0,0,0,0,2.7238,0,0,0,0,0,0,0,0,0,3.6735,7.3506,0,0,0,0,0,0,0,0,5.1897,14.578,8.7149,19.767,36.328,0,0,0,0,0,4.5846,0.44171,16.167,11.233,33.908,53.631,159.97,0,0,0,4.5846,11.074,8.9717,23.334,20.65,51.15,0,0,0,0,3.4943,11.074,2.2748,15.063,35.327,42.802,150.02,0,0,0,3.4943,11.074,8.9717,23.334,20.65,51.238,0,0,0,0,0.45985,7.9322,0,0,0,0,0,0,0,0,4.5846,0.44171,11.436,21.854,27.131,0,0,0,0,0,4.5846,5.3056,11.436,20.802,0,0,0,0,0,0,4.5846,5.3056,11.436,15.775,0,0,0,0,0,0,6.6337,11.101,6.6901,20.802,0,0,0,0,0,0,3.4943,7.0557,8.9717,18.56,33.908,51.15,0,0,0,0,4.5846,11.101,12.993,15.775,0,0,0,0,0
